Date,Open,High,Low,Close,Volume
2023-01-11 00:00:00-05:00,392.23,395.6,391.38,395.52,68881100
2023-01-12 00:00:00-05:00,396.67,398.49,392.42,396.96,90157700
2023-01-13 00:00:00-05:00,393.62,399.1,393.34,398.5,63863400
2023-01-17 00:00:00-05:00,398.48,400.23,397.06,397.77,62677300
2023-01-18 00:00:00-05:00,399.01,400.12,391.28,391.49,99632300
2023-01-19 00:00:00-05:00,389.36,391.08,387.26,388.64,86958900
2023-01-20 00:00:00-05:00,390.1,396.04,388.38,395.88,91544900
2023-01-23 00:00:00-05:00,396.72,402.65,395.72,400.63,84178800
2023-01-24 00:00:00-05:00,398.88,401.15,397.64,400.2,59524900
2023-01-25 00:00:00-05:00,395.95,400.7,393.56,400.35,84800300
2023-01-26 00:00:00-05:00,403.13,404.92,400.03,404.75,72287400
2023-01-27 00:00:00-05:00,403.66,408.16,403.44,405.68,68280700
2023-01-30 00:00:00-05:00,402.8,405.13,400.28,400.59,74202000
2023-01-31 00:00:00-05:00,401.13,406.53,400.77,406.48,86811800
2023-02-01 00:00:00-05:00,405.21,413.67,402.35,410.8,101459200
2023-02-02 00:00:00-05:00,414.86,418.31,412.88,416.78,101654500
2023-02-03 00:00:00-05:00,411.59,416.97,411.09,412.35,94647400
2023-02-06 00:00:00-05:00,409.79,411.29,408.1,409.83,60295300
2023-02-07 00:00:00-05:00,408.87,416.49,407.57,415.19,90990700
2023-02-08 00:00:00-05:00,413.13,414.53,409.93,410.65,76227500
2023-02-09 00:00:00-05:00,414.41,414.57,405.81,407.09,78694900
2023-02-10 00:00:00-05:00,405.86,408.44,405.01,408.04,70738000
2023-02-13 00:00:00-05:00,408.72,412.97,408.24,412.83,64913500
2023-02-14 00:00:00-05:00,411.24,415.05,408.51,412.64,88389300
2023-02-15 00:00:00-05:00,410.35,414.06,409.47,413.98,61685300
2023-02-16 00:00:00-05:00,408.79,412.91,408.14,408.28,76431500
2023-02-17 00:00:00-05:00,406.06,407.51,404.05,407.26,89169100
2023-02-21 00:00:00-05:00,403.06,404.16,400.27,400.44,32779258
